text,label,source,pattern_type
https://alaindupetit.com/collections/all-suits/products/black-two-button?variant=28038644166,1,mathur,
https://bonescoffee.com/products/strawberry-cheesecake-by-bones-coffee-company-16oz?variant=31049004609,1,mathur,
https://brandsego.com/collections/under-rs-99/products/b-s-n-lip-gloss-na6977,1,mathur,
https://brightechshop.com/products/ambience-solar-1w?variant=8038410879012,1,mathur,
https://bumpboxes.com/,1,mathur,
https://casettetomp3.com/products/mini-usb-audio-cassette-tape-converter-to-mp3-cd-player-pc?variant=2859265032202&utm_source=fomo&utm_medium=notification,1,mathur,
https://cbdfx.com/products/og-kush-cbd-terpenes-vape-pen-50mg/,1,mathur,
https://chainedandable.com/collections/old-english/products/st-christopher-cut-out-pendant-figaro,1,mathur,
https://chicsoul.com/collections/new-arrivals/products/beauty-in-simplicity-top-navy?variant=20864560922713,1,mathur,
https://cokodive.com/collections/kpop/products/young-wild-mang-sweater,1,mathur,
https://countycomm.com/collections/watch-bands/products/maratac-s-series-zulu-bands,1,mathur,
https://czechbeadsexclusive.com/en/shiny-yellow-gold-czech-glass-cube-seed-beads-6-0-preciosa-seed-beads-size-6-pearls-rocaille-beads-czech-glass-spacer-beads-3mm-x-3mm-20g/,1,mathur,
https://dekanta.com/store/nikka-whisky-single-malt-yoichi-2019-pre-order/,1,mathur,
https://desirewear.co/products/active-leggings,1,mathur,
https://desirewear.co/products/active-leggings,1,mathur,
https://dessy.com/accessories/sateen-twill-swatch/#.xjdp3xnkil8,1,mathur,
https://diyelectricskateboard.com/products/electric-skateboard-motor-6374-190kv?utm_source=show-recent-order&utm_medium=notification,1,mathur,
https://droom.in/product/honda-cb-hornet-160r-abs-dlx-2019-5c646097c8738354888b7193,1,mathur,
https://electricfireplacesdepot.com/collections/electric-fireboxe-inserts/products/dimplex-revillusion-36-inch-built-in-electric-fireplace-firebox-heater-rbf36,1,mathur,
https://electricfireplacesdepot.com/collections/electric-fireboxe-inserts/products/dimplex-revillusion-36-inch-built-in-electric-fireplace-firebox-heater-rbf36,1,mathur,
https://electricfireplacesdepot.com/collections/electric-fireboxe-inserts/products/dimplex-revillusion-36-inch-built-in-electric-fireplace-firebox-heater-rbf36,1,mathur,
https://fabrics-store.com/fabrics/linen-fabric-il026-gauze-stripes-sheer/,1,mathur,
https://faradayscienceshop.com/collections/frontpage/products/air-swimmer-the-remote-controlled-fish-blimp,1,mathur,
https://fathersonsclothing.com/collections/shorts/products/father-sons-slim-fit-aqua-chino-shorts-fsh318-pre-orders-dispatched-on-15th-march-2019,1,mathur,
https://flattummyco.com/products/flat-tummy-essentials-bundle?variant=15390293786712,1,mathur,
https://forwardrevive.com/collections/bags/products/forwardrevive-spade-drawstring-bag,1,mathur,
https://forwardrevive.com/collections/bags/products/forwardrevive-spade-drawstring-bag,1,mathur,
https://forwardrevive.com/collections/bags/products/forwardrevive-spade-drawstring-bag,1,mathur,
https://foxstark.com/collections/hotbabyitems/products/viking-baby-hat,1,mathur,
https://foxstark.com/collections/hotbabyitems/products/viking-baby-hat,1,mathur,
https://fullyfilmy.in/collections/trending-now/products/dhoni-7-tribute-t-shirt,1,mathur,
https://furnod.com/collections/featured-products/products/janet-couture-bleached-knots-18-inches-glueless-full-lace,1,mathur,
https://furnod.com/collections/featured-products/products/janet-couture-bleached-knots-18-inches-glueless-full-lace,1,mathur,
https://furnod.com/collections/featured-products/products/janet-couture-bleached-knots-18-inches-glueless-full-lace,1,mathur,
https://fuzz.online/products/fg-grater,1,mathur,
https://fuzz.online/products/fg-grater,1,mathur,
https://fuzz.online/products/fg-grater,1,mathur,
https://fuzz.online/products/fg-grater,1,mathur,
https://fuzz.online/products/fg-grater,1,mathur,
https://fwreshinc.com/products/shade-shifter-multichrome-nail-polish-0-5-oz-full-sized-bottle,1,mathur,
https://ghibli.store/collections/ghibli/products/spirited-away-kaonashi-music-box,1,mathur,
https://gopowear.com/collections/wallet-case/products/fashion-beautiful-dragon-wallet-case-sctk240401,1,mathur,
https://gopowear.com/collections/wallet-case/products/fashion-beautiful-dragon-wallet-case-sctk240401,1,mathur,
https://healthyhempoil.com/shop/pure-ratios/cbd-patch/?utm_source=fomo&utm_medium=notification,1,mathur,
https://hygoshop.com/products/anti-snoring-device,1,mathur,
https://ikigaisoul.com/products/ahi-hoodie,1,mathur,
https://impressionsvanity.com/collections/best-selling-products/products/slaystation-pro-2-0-glow-pro-vanity-bundle-with-drawer-units?variant=13576209530973,1,mathur,
https://indiarush.com/rayon-peach-stitched-embroidred-long-kurti-pc14/,1,mathur,
